,Unnamed: 0,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality,rsp_quality,ecg_quality,eda_quality,eyetracking_quality,eyetracking_before_interp
66,66,1,PVT,10Travel,1,True,True,True,True,True,True,0.991175933304564,1.0,1.0,1.0,0.979182692659912,0.5129856333838839
67,67,1,PassiveHighVid,10Travel,1,True,True,True,True,True,True,0.9615793630603394,1.0,1.0,1.0,0.9470055129046838,0.47710874377695006
68,68,1,PassiveLowVid,10Travel,1,True,True,True,True,True,True,0.9366020838113356,1.0,1.0,1.0,0.8753142713853017,0.4686949406431263
69,69,1,PassiveMixedVid,10Travel,1,True,True,True,True,True,True,0.991433260134956,1.0,1.0,1.0,0.8933953205993276,0.4523464643831684
70,0,2,ActiveHighVid,01Baby,1,True,True,True,True,True,True,0.9378384406230424,1.0,1.0,1.0,1.0,0.7266307647633378
71,1,2,ActiveLowVid,01Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.964170692431562,0.5336184366832977
72,2,2,ActiveMixedVid,01Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9923052556555712,0.6982155584299026
73,3,2,MID,01Baby,1,False,False,False,False,False,False,,,,,1.0,0.0
74,4,2,MovieThePresent,01Baby,1,False,False,False,False,False,False,,,,,1.0,0.0
75,5,2,PVT,01Baby,1,True,True,True,True,True,True,0.945945945945946,1.0,1.0,1.0,1.0,0.7551063767436409
76,6,2,PassiveHighVid,01Baby,1,True,True,True,True,True,True,0.9909991632840528,1.0,1.0,1.0,0.9434248645509559,0.5235691235572449
77,7,2,PassiveLowVid,01Baby,1,True,True,True,True,True,True,0.9273915634660944,1.0,1.0,1.0,0.9960405448210327,0.7212675535846268
78,8,2,PassiveMixedVid,01Baby,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9954796518342055,0.646277806740268
79,9,2,Rest,01Baby,1,False,False,False,False,False,False,,,,,1.0,0.0
80,10,2,VisualLoc,01Baby,1,False,False,False,False,False,False,,,,,1.0,0.0
81,11,2,ActiveHighVid,02Diy,1,True,True,True,True,True,True,0.9840628444792416,1.0,1.0,1.0,1.0,0.7330601309259845
82,12,2,ActiveLowVid,02Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7548835858719181
83,13,2,ActiveMixedVid,02Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9960470656556658,0.7195330390080048
84,14,2,MID,02Diy,1,False,False,False,False,False,False,,,,,1.0,0.0
85,15,2,MovieThePresent,02Diy,1,False,False,False,False,False,False,,,,,1.0,0.0
86,16,2,PVT,02Diy,1,True,True,True,True,True,True,0.9909520034461664,1.0,1.0,1.0,1.0,0.7549158949712812
87,17,2,PassiveHighVid,02Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7742471936805845
88,18,2,PassiveLowVid,02Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7421091878551113
89,19,2,PassiveMixedVid,02Diy,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.7593316086795839
90,20,2,Rest,02Diy,1,False,False,False,False,False,False,,,,,1.0,0.0
91,21,2,VisualLoc,02Diy,1,False,False,False,False,False,False,,,,,1.0,0.0
92,22,2,ActiveHighVid,03Nature,1,True,True,True,True,True,True,0.9716745243445446,1.0,1.0,1.0,1.0,0.8126616862890027
93,23,2,ActiveLowVid,03Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.994865770926273,0.805862788057968
94,24,2,ActiveMixedVid,03Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,0.8179826298144188
95,25,2,MID,03Nature,1,False,False,False,False,False,False,,,,,1.0,0.0
96,26,2,MovieThePresent,03Nature,1,False,False,False,False,False,False,,,,,1.0,0.0
97,27,2,PVT,03Nature,1,True,True,True,True,True,True,0.9819101296398492,1.0,1.0,1.0,1.0,0.7990285500780236
98,28,2,PassiveHighVid,03Nature,1,True,True,True,True,True,True,1.0,1.0,1.0,1.0,0.9909661411763153,0.7956328650332253
99,29,2,PassiveLowVid,03Nature,1,True,True,True,True,True,True,0.9807463357198848,1.0,1.0,1.0,1.0,0.8013079400274522
100,30,2,PassiveMixedVid,03Nature,1,True,True,True,True,True,True,0.9917784338072644,1.0,1.0,1.0,1.0,0.7958943971916674
101,31,2,Rest,03Nature,1,False,False,False,False,False,False,,,,,1.0,0.0
102,32,2,VisualLoc,03Nature,1,False,False,False,False,False,False,,,,,1.0,0.0
