MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
ESACC	R	8356833	8357133	304	511.9	358.2	589.4	306.7	1.62	630
SFIX	R	8357137								
EFIX	R	8357137	8357189	56	605.9	315.3	1370			
SSACC	R	8357193								
ESACC	R	8357193	8357253	64	602.0	324.8	630.6	290.6	0.82	90
SFIX	R	8357257								
EFIX	R	8357257	8357477	224	628.1	326.1	1293			
SSACC	R	8357481								
ESACC	R	8357481	8357537	60	623.0	322.0	661.2	846.7	10.04	275
SFIX	R	8357541								
EFIX	R	8357541	8357809	272	661.7	867.1	1337			
SSACC	R	8357813								
SBLINK	R	8357861								
EBLINK	R	8357861	8357989	132						
ESACC	R	8357813	8358101	292	657.9	879.5	577.0	488.2	7.53	606
SFIX	R	8358105								
EFIX	R	8358105	8358301	200	581.7	539.0	1385			
SSACC	R	8358305								
ESACC	R	8358305	8358309	8	595.8	555.9	596.0	564.4	0.16	54
SFIX	R	8358313								
EFIX	R	8358313	8358617	308	598.6	554.7	1339			
SSACC	R	8358621								
ESACC	R	8358621	8358673	56	598.4	530.1	592.4	479.3	0.99	77
SFIX	R	8358677								
EFIX	R	8358677	8358773	100	585.8	480.6	1467			
SSACC	R	8358777								
ESACC	R	8358777	8358785	12	584.7	469.2	584.4	481.4	0.24	70
SFIX	R	8358789								
EFIX	R	8358789	8358973	188	589.4	477.4	1507			
SSACC	R	8358977								
ESACC	R	8358977	8358993	20	601.8	479.6	603.5	481.5	0.05	62
SFIX	R	8358997								
EFIX	R	8358997	8359025	32	603.6	483.6	1499			
SSACC	R	8359029								
ESACC	R	8359029	8359057	32	608.8	486.4	703.0	330.3	3.41	193
SFIX	R	8359061								
EFIX	R	8359061	8359237	180	691.0	382.5	1530			
SSACC	R	8359241								
ESACC	R	8359241	8359257	20	689.0	398.3	689.1	411.1	0.25	84
SFIX	R	8359261								
EFIX	R	8359261	8359613	356	686.3	387.7	1567			
SSACC	R	8359617								
ESACC	R	8359617	8359669	56	690.3	375.3	623.1	355.0	1.17	98
SFIX	R	8359673								
EFIX	R	8359673	8359781	112	627.9	363.9	1615			
SSACC	R	8359785								
ESACC	R	8359785	8359829	48	627.9	374.3	629.1	385.3	0.22	68
SFIX	R	8359833								
EFIX	R	8359833	8359909	80	627.5	368.5	1646			
SSACC	R	8359913								
ESACC	R	8359913	8360013	104	628.4	367.1	799.4	361.3	2.79	224
SFIX	R	8360017								
EFIX	R	8360017	8360045	32	795.6	352.5	1631			
SSACC	R	8360049								
ESACC	R	8360049	8360057	12	788.1	358.8	786.2	375.0	0.32	92
SFIX	R	8360061								
EFIX	R	8360061	8360117	60	787.4	359.1	1633			
SSACC	R	8360121								
ESACC	R	8360121	8360129	12	792.7	342.7	788.9	346.4	0.10	76
SFIX	R	8360133								
EFIX	R	8360133	8360309	180	791.7	364.2	1658			
SSACC	R	8360313								
ESACC	R	8360313	8360433	124	794.3	380.8	206.6	390.7	9.57	271
SFIX	R	8360437								
EFIX	R	8360437	8360645	212	210.9	418.4	1647			
SSACC	R	8360649								
ESACC	R	8360649	8360673	28	212.5	426.1	349.8	416.6	2.25	166
SFIX	R	8360677								
EFIX	R	8360677	8360721	48	323.4	421.0	1740			
SSACC	R	8360725								
ESACC	R	8360725	8360737	16	315.8	441.8	315.1	402.5	0.77	88
SFIX	R	8360741								
EFIX	R	8360741	8361037	300	313.6	407.0	1706			
SSACC	R	8361041								
ESACC	R	8361041	8361081	44	316.5	422.5	319.5	395.1	0.54	90
SFIX	R	8361085								
EFIX	R	8361085	8361161	80	320.4	391.3	1754			
SSACC	R	8361165								
ESACC	R	8361165	8361197	36	318.7	375.9	545.8	339.5	3.78	174
SFIX	R	8361201								
EFIX	R	8361201	8361341	144	544.2	354.3	1753			
SSACC	R	8361345								
ESACC	R	8361345	8361353	12	548.6	341.4	549.3	363.5	0.43	79
SFIX	R	8361357								
EFIX	R	8361357	8361429	76	548.4	362.4	1752			
SSACC	R	8361433								
SBLINK	R	8361485								
EBLINK	R	8361485	8361617	136						
ESACC	R	8361433	8361713	284	557.1	344.7	616.9	472.9	2.68	1529
SFIX	R	8361717								
EFIX	R	8361717	8361805	92	587.0	429.1	1720			
SSACC	R	8361809								
ESACC	R	8361809	8361833	28	594.5	411.2	686.4	376.2	1.65	114
SFIX	R	8361837								
EFIX	R	8361837	8361949	116	696.2	417.1	1675			
SSACC	R	8361953								
SBLINK	R	8361961								
EBLINK	R	8361961	8362041	84						
ESACC	R	8361953	8362085	136	726.7	469.9	780.6	366.6	2.19	157
SFIX	R	8362089								
EFIX	R	8362089	8362165	80	783.7	404.7	1653			
SSACC	R	8362169								
ESACC	R	8362169	8362189	24	780.3	418.8	781.3	426.2	0.14	76
SFIX	R	8362193								
EFIX	R	8362193	8362269	80	780.6	441.2	1631			
SSACC	R	8362273								
ESACC	R	8362273	8362277	8	782.1	444.7	783.8	450.1	0.11	62
SFIX	R	8362281								
EFIX	R	8362281	8362301	24	783.9	449.2	1615			
SSACC	R	8362305								
ESACC	R	8362305	8362321	20	778.3	443.8	777.8	461.7	0.35	91
SFIX	R	8362325								
EFIX	R	8362325	8362361	40	771.9	459.2	1622			
SSACC	R	8362365								
ESACC	R	8362365	8362413	52	765.7	445.9	366.3	488.7	6.56	245
SFIX	R	8362417								
EFIX	R	8362417	8362449	36	380.5	484.6	1642			
SSACC	R	8362453								
ESACC	R	8362453	8362521	72	367.6	493.8	359.1	475.1	0.39	101
SFIX	R	8362525								
